,tr_main_law,tr_draft,tr_category
973,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Azerbaijan on Air transport, signed on April 20, 2022 in Baku",About the draft Law,Empty
974,"Commissioning of the second hydroelectric unit of Kambaratinskaya HPP-2 between the Kyrgyz Republic and the Eurasian Development Bank dated February 28, 2017, signed on April 15, 2022",On the ratification of Additional Agreement No. 2 to the Agreement on the Provision of an investment loan from the funds of the Eurasian Stabilization and Development Fund to finance the project,About the draft Law
975,About state protection,About the draft Law,Empty
976,On the basics of state policy to support compatriots abroad,On amendments to the Law of the Kyrgyz Republic,About the draft Law
977,"On the ratification of the Agreement between the Government of the Kyrgyz Republic and the Government of Hungary on International Road Transport of Passengers and Goods, signed on April 8, 2021 in Bishkek",About the draft Law,Empty
978,About advertising,On amendments to the Law of the Kyrgyz Republic,About the draft Law
979,About medical insurance of citizens in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
980,"On amendments to some legislative acts of the Kyrgyz Republic in the field of social security ,",About the draft Law,Empty
981,On amendments to some legislative acts in the field of agriculture,About the draft Law,Empty
982,On amendments to legislative acts in the field of penal enforcement activities,About the draft Law,Empty
983,On countering extremist activities,About the draft Law,Empty
984,About external migration,On amendments to the Law of the Kyrgyz Republic,About the draft Law
985,On amendments to some legislative acts of the Kyrgyz Republic in the field of state registration of rights to real estate and transactions with it,About the draft Law,Empty
986,"On the establishment of military ranks, class ranks, special class ranks and special ranks",On amendments to the Law of the Kyrgyz Republic,About the draft Law
987,On amendments to the Code of the Kyrgyz Republic on Non-tax income,About the draft Law,Empty
988,On measures for state support of private initiatives for the development of infrastructure in the field of education,On the draft resolution of the Jogorku Kenesh,Empty
989,"On the provision of benefits for the return of concessional long-term loans to persons living in settlements located in mountainous and remote areas of the Kyrgyz Republic, victims of natural disasters, who received loans in the period from 2002 onwards",On amendments to the Law of the Kyrgyz Republic,About the draft Law
990,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014 regarding pension provision for Officials and Employees of the Eurasian Economic Commission and the Court of the Eurasian Economic Union who are Citizens of the Russian Federation, signed on March 24, 2022 in Moscow",About the draft Law,Empty
991,"On ratification of the Protocol on Amendments to the Protocol on Conditions and Transitional Provisions for the Application by the Kyrgyz Republic of the Treaty on the Eurasian Economic Union dated May 29, 2014, certain international treaties included in the Law of the Eurasian Economic Union, and acts of the bodies of the Eurasian Economic Union in connection with the accession of the Kyrgyz Republic to the Treaty on the Eurasian Economic Union dated May 29 2014, signed on May 8, 2015, signed on April 19, 2022 in Moscow",About the draft Law,Empty
992,On Civil protection,On amendments to the Law of the Kyrgyz Republic,About the draft Law
993,On hydrometeorological activities in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
994,About emergency services and the status of rescuers,On amendments to the Law of the Kyrgyz Republic,About the draft Law
995,"On ratification of the Treaty of the Member States of the Commonwealth of Independent States on Countering the Legalization (Laundering) of Proceeds from Crime, the Financing of Terrorism and the Financing of the Proliferation of Weapons of Mass Destruction, signed on October 15, 2021",About the draft Law,Empty
996,About external migration,On amendments to the Law of the Kyrgyz Republic,About the draft Law
997,About innovation activities,About the draft Law,Empty
998,On copyright and related rights and invalidation of certain legislative acts of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
999,On social partnership in the field of labor relations in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
1000,About volunteering,About the draft Law,Empty
1001,"On the ratification of the Loan Agreement between the Kyrgyz Republic and the Asian Development Bank (Economic Diversification Promotion Program – Subprogramme 3) and the Grant Agreement between the Kyrgyz Republic and the Asian Development Bank (Economic Diversification Promotion Program – Subprogramme 3), signed on October 3, 2022 in Bishkek",About the draft Law,Empty
1002,"On the ratification of the Loan Agreement between the Kyrgyz Republic and the Asian Development Bank (Economic Diversification Promotion Program – Subprogramme 3) and the Grant Agreement between the Kyrgyz Republic and the Asian Development Bank (Economic Diversification Promotion Program – Subprogramme 3), signed on October 3, 2022 in Bishkek",About the draft Law,Empty
1003,"On the ratification of the Loan Agreement between the Kyrgyz Republic and the Asian Development Bank (Economic Diversification Promotion Program – Subprogramme 3) and the Grant Agreement between the Kyrgyz Republic and the Asian Development Bank (Economic Diversification Promotion Program – Subprogramme 3), signed on October 3, 2022 in Bishkek",About the draft Law,Empty
1004,On the formation of a temporary deputy commission to study the issues of chaotic construction in the city of Bishkek and control the implementation of urban planning legislation of the Kyrgyz Republic,"On Amending Resolution No. 176-VII of the Jogorku Kenesh of the Kyrgyz Republic dated April 6, 2022",On the draft resolution of the Jogorku Kenesh
1005,"On the universal military duty of citizens of the Kyrgyz Republic, on military and alternative services",On amendments to the Law of the Kyrgyz Republic,About the draft Law
1006,About the State Development Bank of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
1007,On countering the financing of terrorist activities and the legalization (laundering) of criminal proceeds,On amendments to the Law of the Kyrgyz Republic,About the draft Law
1008,About public procurement,On amendments to the Law of the Kyrgyz Republic,About the draft Law
1009,"About a specialized administrative district in the Issyk-Kul region, including a tourist and entertainment complex",About the draft Law,Empty
1010,On amendments to some legislative acts of the Kyrgyz Republic on gambling issues,About the draft Law,Empty
1011,About fire safety,About the draft Law,Empty
1012,About the state symbols of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
1013,About the State civil service and municipal service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
1014,"On the ratification of the Agreement on the Specifics of the Application of Enforcement of the Obligation to Pay Customs Duties, Taxes, Special, Anti-dumping, Countervailing Duties during the Carriage (Transportation) of Goods in accordance with the Customs Procedure of Customs Transit, signed on April 19, 2022 in Moscow",About the draft Law,Empty
1015,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Azerbaijan on Air transport, signed on April 20, 2022 in Baku",About the draft Law,Empty
1016,"Commissioning of the second hydroelectric unit of Kambaratinskaya HPP-2 between the Kyrgyz Republic and the Eurasian Development Bank dated February 28, 2017, signed on April 15, 2022",On the ratification of Additional Agreement No. 2 to the Agreement on the Provision of an investment loan from the funds of the Eurasian Stabilization and Development Fund to finance the project,About the draft Law
1017,On amendments to the Labor Code of the Kyrgyz Republic and the invalidation of certain legislative acts of the Kyrgyz Republic,About the draft Law,Empty
